cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
14073			0	2A516		[鼓/虫]	鼕	
14074			1	9F1F		[鼓/登]		
14075						[箱-目]		
14076			0		2A20C	[獨*鳥]		
14077						[豸*付]	豺	
14078			0	27031		[蔕/心]	蔕	
14079			0	20303		[仁-二+留]		
14080			1	50E1		[仁-二+惠]	惠	
14081			0	235F3		[木*豆*寸]	樹	
14082						[序-予+每]		
14083						[怡-台+孝]		
14084						[泳-永+卬]		
14085			1	6D72		[泳-永+夆]		
14086						[泳-永+徛]		
14087			0	24113		[泳-永+藂]		
14088			0	25B14		[竺-二+去]		
14089			0	25CFD		[竺-二+欺]		
14090						[竺-二+柺]		
14091						[彥-文+自]		
14092						[眩-ㄙ+ㄥ]		
14093						[茫-亡+鳥]		
14094			0	22AF3		[捱-圭+午]		
14095			1	8970		[袖-由+賴]		
14096			0		29526	[這-言+頧]		
14097			0	47FC		[跳-兆+武]		
14098			0	280A6		[跳-兆+彖]		
14099			0	4064		[嫡-女+目]		
14100						[噗-口+火]		
14101						[潤-王+壬]	潤	
14102						[潤-王+圭]	潤	
14103						[靄-曷+局]		
14104						[优-尢+曳]	伸	
14105			0	2665D		[肸-十+丁]	肸	
14106						[木*(?/夏)]		
14107						[(且/八)*鳥]		
14108						[口*(且/八)]		
14109						[木*(乃/古)]		
14110						[耒*(世/冉)]		
14111						[山*(田/?/工)]		
14112						[(券-刀+臼)*鳥]		
14113			0	21EB0		[山/(阿-可+辛)]	嶭	
14114						[王*(祭-示+米)]	璨	
14115			0	22283		[序-予+(夾/土)]	瘞	
14116						[序-予+(疌-┴)]		
14117						[邱-丘+(取/氏)]		
14118						[莊-士+(幅-巾)]		
14119						[(十/田/方)*頁]		
14120						[(ㄇ@(企-止))/歷]		
14121						[(囗@(企-止))/帝]		
14122						[仁-二+(羲-ㄎ+乃)]		
14123			0		22B8E	[打-丁+(虎-儿+几)]		
14124			0	29899		[((嘹-口)-小)-日+馬]		
14125						[目*(春-日+(、/、))]		
14126			0	26BD3		[卄/阻]	葅	
14127			0	26DC8		[卄/狹]		
14128			1	8522		[卄/婆]		
14129			1	851B		[卄/斛]		
14130						[卄/華]		
14132			0	20C0D		[口*主]		
14133						[口*螫]		
14134			1	5812		[土*昆]		
14135			0	21995		[子*專]		
14136			0	37BE		[山*尼]		
14137						[公/廾]		
14138						[日*匡]		
14139						[日*究]		
14140			0	43FC		[月*戔]		
14141			1	6931		[木*复]		
14142						[火*葛]		
14143						[牛*牢]		
14144						[田*古]		
14145						[目*究]		
14146			0	25313		[目*署]		
14147			0		411B	[示*婁]		
14148			0	257A7		[禾*行]		
14149			0	25980		[穴/見]		
14150						[穴/隹]		
14151			0	24FE1		[危*皮]		
14152			1	7E4F		[糸*巽]		
14153						[耳*兌]		
14154			0	265BB		[耳*思]	聰	
14155			0	272AD		[虫*因]		
14156			0	2736A		[虫*禺]		
14157						[虫*晃]		
14158			0	274B1		[虫*雍]		
14159			0	2737F		[虫*殄]	蜓	
14160			0	45DA		[虫*尃]		
14161						[角*瓦]		
14162						[辛*頁]		
14163						[里*敢]		
14164			0	28B50		[金*單]		
14165						[門@瓜]		
14166						[莫/ㄙ]	篡	
14167						[巠*見]		
14168						[賏/安]		
14169			0	20F2B		[口*金*亍]	銜	
14170						[山/一/日]	時	
14171			1	4EF9		[仁-二+丰]		
14172			0	3487		[仁-二+無]	憮	
14174						[句-口+又]		
14175						[打-丁+左]		
14176						[打-丁+函]		
14177			0	3A1E		[打-丁+素]		
14178						[打-丁+進]		
14179			0		26E95	[打-丁+葵]		
14180						[打-丁+賞]	擅	
14181						[打-丁+篾]		
14182						[利-禾+雩]		
14183			0	207D9		[利-禾+雲]		
14184			0	3E91		[狂-王+參]		
14185						[券-刀+水]		
14186			0	390C		[怡-台+甘]		
14187			0	393F		[怡-台+奄]		
14188			0	22840		[怡-台+黑]		
14189			0	3D3F		[泳-永+頂]		
14190			1	6E6A		[泳-永+彖]		
14191						[泳-永+圊]		
14192						[竺-二+位]		
14193						[阿-可+親]		
14194			1	6623		[珍-王+日]		
14195						[虺-兀+瓦]		
14196			0	3F71		[病-丙+ㄐ]		
14197			0	24DC9		[病-丙+亟]		
14198						[族-方+金]		
14199			1	88ED		[袖-由+虎]	褫	
14200						[袖-由+茵]		
14201						[這-言+截]		
14202			0	281C1		[跳-兆+廣]		
14203			0		44D1	[漠-旲+幵]		
14204			0	4544		[蓋-去+氶]		
14205						[魅-未+炎]		
14206			0		2A30C	[麩-夫+火]	熱	
14207						[樵-隹+倠]		
14208			0	20FC9		[擊-手+口]		
14209						[翹-羽+見]		
14210						[廎-匕+束]		
14211			0	2614F		[緛-大+而]	繻	
14212						[儩-易+昜]		
14213						[鵂-木+大]		
14214			0	2A5C2		[鼻*(?/免)]		
14215						[(百*殳)/心]		
14216						[月*(刀/臼)]		
14217						[兆/(革*支)]		
14218						[糸*(圖-囗)]	緇	
14219			0		211BE	[囗@(儿/ㄙ)]	囧	
14220						[事-?+(乳-孚)]		
14221						[(音*皮)/一/心]		
14222						[百/(冗-几+政)]		
14223			0	27411		[虫*(少/日/小)]		
14224						[廓-享+(田/坴)]	廛	
14225						[輜-田+(离-禸)]		
14226						[(ㄇ@(企-止))/龍]		
14227						[(焉-(烈-列))*及]		
