cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
07987			0	4741		[勞-力+豆]		
07988	M002449		0	208A7		[勝-月+舟]	勝	
07989	M045210		0	29A5C		[隋-月+骨]	髓	
07990			0	35D0		[嗑-去+太]	嗑	
07991	M010606		0		393A	[慌-卄]	慌	
07992						[慌-亡+(└@人)]	慌	
07993						[慌-芒+(└@人)]	慌	
07994			1		7A1F	[稟-禾+木]	稟	
07995						[肆-聿+參]		
07996						[號-虎+(虒-儿+几)]		
07997			0	2A60F		[跳-兆+齒]	齪	
07998	M016346		0	239A2		[辟/止]		
07999	M011300		0	22894		[慢-又+方]	慢	
08000			0	3AA1		[敲-高+害]		
08001			0	22FD8		[敲-高+婁]	數	
08002	M015203		0	23589		[榨-乍+木]		
08003	M073605		0		3DB3	[盡-((烈-列)/皿)+火]	燼	
08004						[綜-示+丙]		
08005			1	8088		[肇-ㄆ+戈]	肇	
08006			1		8495	[蓋-去+(ㄇ@人)]		
08007			0		4B12	[颱-台+((宋-木)/火/又)]	颼	
08008						[颱-台+(劉-刀+ㄗ)]		
08009	M007800		0	21CD0		[履-复+(舟/ㄆ)]	履	
08010			0	23E0D		[潑-弓]	潑	
08011						[漜-土+肉]		
08012			0	23F68		[滕-月+舟]		
08013			1		729B	[犛-ㄆ+(敲-高)]		
08014			0	2305F		[犛-牛+文]		
08015						[穀-(一/禾)+(夕*(ㄗ@、))]		
08016			0		3C89	[穀-(一/禾)+卵]		
08017			0	2761D		[褒-保+毛]	表	
08018			0		4D3A	[麩-夫+(立/口)]		
08019			0	2A31C		[麩-夫+生]		
08020			0	2A5EA		[齒*司]	齝	
08021			0	21894		[嬴-亡+(└@人)]	嬴	
08022	M013393		0	22FEB		[整-ㄆ+(敲-高)]	整	
08023			0	27A2F		[謀-甘+ㄊ]	諜	
08024	M015869		0	3C0D		[龍/木]	櫳	
08025			0	2A5CC		[齋-小+肉]	臍	
08026						[壙-黃+千]	坼	
08027			0		22FE3	[翹-羽+(敲-高)]		
08028	M041439		0	28D75		[闔-去+太]	闔	
08029			1	5B33		[穫-禾+女]		
08030			0	27B58		[譜-並+(立*立)]	譜	
08031	M013380		0	22FE2		[辭-辛+(敲-高)]		
08032			0	26AC0		[騰-月+舟]	騰	
08035			0	22034		[厂@巳]	厄	
08036			0	4AB4		[冘*頁]		
08037						[囟-乂+人]		
08038	M010562		1	6056		[囟/心]	思	
08039	M028216		0	4351		[网/干]	罕	
08040			0	25116		[肸-月+目]		
08041			0	2346D		[狦-(狂-王)+木]	柵	
08042						[盷-二+目]	眴	
08043	M038989		1	9045		[迡-匕+羊]	遲	
08044			0	2485D		[狴-比+非]		
08045						[眝-丁+炎]	瞍	
08046						[秮-口+月]		
08047			1		9DC9	[虒*鳥]	鷈	
08048						[迾-歹+((餐-食)-又)]		
08049						[髟/尢]		
08050						[弶-口+日]	弶	
08051	M027315		0	42C4		[絅-口+乂]	網	
08052						[嗕-辰+焦]		
08053						[溳-口+束]		
08054						[蜎-口+ㄙ]	蜎	
08055						[趒-土+禾]		
08056			1	6F99		[漹-正+臼]		
08057						[瘞-夾+(券-刀)]		
08058			0	24454		[蓺/火]	爇	
08059	M009306		0	387F		[蝷-虫]	斥	
08060	M033464		0	273E6		[蝡-大+火]	蝡	
08061			0	2899A		[鋗-月+大]	鋘	
08062						[墼-殳+瓦]		
08063						[覈-(白/方)+身]		
08064			0	22E72		[攗-米+君]	捃	
08065						[黧-黑+(企-止+黑)]		
08066			0	244E1		[爝-(即-ㄗ+寸)+(鬯*又)]	爝	
08067						[斖-且+(烈-列+酉)]		
08069						[囉-維+(((嘹-口)-小)-日+干)]		
08070						[┴*├]		
08071	M070022		1		4E0E	[├/刁]	与	
08072						[└@丙]		
08073	M013739		0	23140		[〦/日]	旨	
08074			1	6765		[〦/米]	來	
08075			1	8287		[卄/巾]		
08076			0	44C7		[卄/赤]		
08077	M031250		1	8402		[卄/和]		
08078	M031617		1	84B7		[卄/員]		
08079	M031591		0	4502		[卄/宰]		
08080			0	26E7E		[卄/毫]	耄	
08081			0	27039		[卄/遮]	蔗	
08082						[卄/闆]		
08083			0	27238		[ㄆ/虫]	蚤	
08084						[ㄊ/肉]		
08085	M008672		1	5DDC		[ㄑ*ㄑ]		
08086	M007840		0	2125A		[ㄓ/土]	封	
08087	M029251		0	43CD		[ㄙ/月]	肙	
08088	M010503		0	22611		[一/忠]		
08089						[一/巿]		
08090						[乃/兄]		
08091	M070246		0	200D9		[九/九]		
08092	M003121		0	20B1A		[九/又]	宄	
08094	M071837		0		23041	[入/文]		
08095	M015053		0	204F2		[入/桀]	乘	
08096	M076819		0	20B1B		[刀/又]		
08097	M070081					[舉-與]	串	
08098	M043336		0	2944C		[又*頁]		
08099	M003120		0	355B		[又/又]		
08100	M007483		1	5C17		[上/小]	菽	
08101	M077185					[上/矢]		
08102	M001852		1	5205		[刃*、]		
08103			0	29FAD		[千/鳥]	鳶	
08104	M002779		1	535F		[口*卜]		
08105	M003282		1	5405		[口*口]		
08106	M003359		0	356D		[口*夭]		
08107	M003548		0	20C53		[口*危]		
08108	M003740		0	20CFA		[口*吝]		
08109						[口*師]		
08110	M004227		0	20F22		[口*強]		
08111	M004147		0	20ED8		[口*雀]	嚼	
08112	M004434		0	2103D		[口*蓋]	喝	
08113	M004504		0	21094		[口*慼]	嘁	
08114	M004601		0	21131		[嘁/足]	嘁	
08115						[口*萛]		
08116	M003366		1	5434		[口/天]		
08117			0	27FB7		[口/止]		
08118						[口/肉]		
08119	M004912		1	5743		[土*元]	壎	
08120	M065083		0	212AF		[土*弁]		
08121	M005459		0	366A		[土*壹]		
08122	M005521		0	21463		[土*窟]		
08123			0	21462		[土*葉]	堞	
08124			0	214F4		[土*糞]		
08125			0	213DE		[土*冓]		
08126						[土/而]		
08127	M005475		0	21422		[土/異]	糞	
08128			0	3688		[夕*十]	升	
08129						[夕/有]		
08130	M005849		1	5935		[大/小]		
08131	M005918		1	5952		[大/亥]		
08132	M005945		1	595E		[大/隹]		
08133	M006074		1	598C		[女*井]		
08134	M006323		0	36DB		[女*身]	娠	
08135	M054542		0	21883		[女*間]	嫻	
08136						[女*厲]		
08137	M006095		1	599C		[女*夬]		
08138	M006871		0	3733		[女*褱]		
08139	M007681		0	21C4D		[尸@亥]	骸	
08140	M007729		0	21C7C		[尸@果]		
08141	M007789		0	21CC5		[尸@既]		
08142	M007769		0	21CA3		[尸@降]	降	
08143	M007927		0	37B4		[山*氏]		
08144	M076942					[山/小]		
08145	M007943		0	21D5E		[山/丰]	峰	
08146						[山/六]		
08147	M075044		0		2125A	[山/王]	封	
08148	M008061		0	21DC5		[山/圭]	峰	
08149						[山/玫]		
08150	M007882		1	5C75		[山/厂]		
08151	M074401		0	21F01		[山/离]		
08152						[川*〡]		
08153						[工*├]	疾	
08154	M041952		0	28F8A		[工*隹]		
08155	M046669		0	4CA8		[工*鳥]	鴻	
08156			0	2201C		[工*丮]		
08157	M010329		0	225B6		[工/心]	恐	
08158						[巾*又]		
08159						[巾*亢]		
08160	M008869		0	22091		[巾*式]	拭	
08161						[干*力]		
08162	M009705		0	223A2		[弓*人]	引	
08163						[(?/木)*頁]		
08164						[弓*甫]		
08165	M009899		0	22446		[弓*雚]		
08166	M002716		0	353B		[不/十]	丕	
08167	M003140		0	355C		[中/又]	史	
08168	M003057		1	53B6		[云-二]		
08169						[云/小]		
08170	M021455		0	3F1A		[亢*瓦]	缸	
08171	M017167		0	23C8E		[今/水]	飲	
08172	M000003		1	4E02		[兮-八]		
08173						[凶/肉]		
08174	M010356		0	3902		[及/心]		
08175	M059371		1	5963		[天/明]		
08176	M043774		0	295AC		[夫*風]		
08177	M022960		1	76C7		[太/皿]	盍	
08178	M070646		0		200CC	[幻-ㄠ]		
08179			0		229A8	[戈/用]	勇	
08180	M033921		0	27579		[戈/蠢]		
08181						[文*閔]		
08182	M013621		0	3AC3		[方*人]		
08183						[日*(弓/一)]		
08184	M013892		1	6644		[日*光]	晃	
08185	M013933		1	6657		[日*含]		
08186	M014052		1	6692		[日*星]	晴	
08187	M006099		1	599F		[日/女]		
08188			0	232B9		[日/童]	量	
08189	M013910		0	23197		[曰/合]		
08190	M074240					[月*又]		
08191	M029293		0	43D4		[月*丑]		
08192			0	2666D		[月*冬]	疼	
08193	M029393		0	43E4		[月*司]		
08194	M029536		1	812A		[月*希]		
08195	M029784		0	267A4		[月*宰]		
08196	M029767		0	2679C		[月*息]		
08197						[月*拳]		
08198						[月*烏]		
08199	M029815		0	442D		[月*帶]		
08200	M029875		0	26809		[月*壹]		
08201						[月*蹙]		
08202	M064007					[月*蘭]		
08203			0	2339C		[月*黽]		
08204	M014533		0	233DA		[木*氏]		
08205	M014574		0	233F9		[木*火]		
08206	M014782		0	2343E		[木*休]	薅	
08207			0	2348D		[木*何]		
08208	M014894		0	234B6		[木*李]	李	
08209			0	22F73		[木*枚]		
08210	M015064		1	691A		[木*門]		
08211						[木*急]		
08212						[木*桓]		
08213	M015220		1	698F		[木*益]		
08214	M015654		0	3BF0		[木*置]	植	
08215	M015634		1	6A82		[木*農]		
08216	M015708		0	23741		[木*箄]		
08217						[木*閫]		
08218			0	23572		[木*恒]	亙	
08219						[木/又]		
08220			0	23447		[木/糸]	索	
08221	M016308		0	3C55		[止*帚]	歸	
08222	M071832					[止/小]		
08223	M016285		0	3C52		[止/可]	訶	
08224	M016300		0	2396D		[止/幵]	戰	
08225	M016420		1	6B85		[歹*生]		
08226	M016558		0	23A52		[歹*曹]	傮	
08227						[歹/凡]		
08228						[比/欠]		
08229	M003345		0	20BD1		[氏/口]		
08230	M078204					[水*欠]		
08231						[水/戈]		
08232	M019074		1	7107		[火*肖]		
08233	M019076					[火*(曷-人+乂)]	暍	
08234	M019451		0	3DFB		[火*無]	無	
08235						[火/凡]	光	
08236	M019738		0	3E1A		[爻*爻]		
08237	M019920		0	24610		[牙*禹]	齲	
08238	M019951		0	24621		[牛*今]		
08239						[牛*戾]		
08240	M020219		0		3E5B	[牛*夒]		
08241	M021032		1	7415		[王*卑]		
08242	M021108		1	744C		[王*耎]	瓀	
08243	M077382					[世/十]		
08244						[乎*(虎-儿+几)]		
08245	M001373		0	20484		[出*兀]	卼	
08246	M016040		1	6B2A		[出*欠]		
08247						[出*真]		
08248	M045152		0	29A33		[出*骨]		
08249	M036892		0	27DD3		[出/買]	賣	
08250						[包*頁]		
08251			1		80CC	[北/肉]	背	
08252						[占*未]		
08253						[可*多]		
08254	M002836		1	5369		[叩-口]		
08255			1	4E29		[叫-口]		
08256	M038637		1	8F9D		[台*辛]	辭	
08257	M016805		0	23B44		[奴/毛]		
08258	M009189		1	5E7A		[幼-力]		
08259	M043414		0	4ABB		[弁*頁]		
08260						[弗/瓜]		
08261	M022969		0	25051		[必/皿]		
08262			0	27288		[民/虫]	蚊	
08263			1		74DE	[瓜*失]	瓞	
08264	M016045		0	238A1		[生*欠]		
08265	M073914					[用*用]		
08266	M021776		1	754D		[田*介]	界	
08267	M021828		1	7561		[田*亥]	垓	
08268						[田/十]		
08269						[田/肉]		
08270						[皮*曾]		
08271						[目*互]		
08272						[目*旨]		
08273						[目*狂]		
08274						[目*邑]		
08275						[目*芥]		
08276	M023624		0	25277		[目*戚]		
08277	M023820		0	2533D		[目*嬰]		
08278	M023840		0	4084		[目*矍]		
08279	M023951		0	4091		[矢*此]		
08280						[矢*堊]		
08281						[矢*無]		
08282			1	7819		[石*瓦]		
08283	M024146		1	7842		[石*全]	銓	
08284	M024514		0	2559A		[石*窟]		
08285	M024612		0	40FA		[石*靡]	磨	
08286						[石*巖]		
08287						[石*荖]		
08288	M024359		0	25521		[石/香]		
08289			0		25634	[示*平]	秤	
08290	M024666		1	7958		[示*示]		
08291						[示*走]		
08292	M045797		0	29CA1		[示*鬼]	鬼	
08293						[示*冘]		
08294	M024842		0		4120	[示*亶]	禪	
08295	M024916		0	4127		[禾*乃]		
08296	M024924		0	4128		[禾*于]		
08297	M024939		0	412E		[禾*夫]		
08298	M074460					[禾*尤]		
08299	M025036		0	4140		[禾*列]		
08300	M025075		1	7A09		[禾*更]	粳	
08301						[禾*員]		
08302	M025210		0	25839		[禾*桀]		
08303	M025166		1	7A2C		[禾*耎]	糯	
08304	M025265		0	417B		[禾*离]		
08305						[禾/止]		
08306	M025429		1	7A7C		[穴/木]		
08307			0	2595F		[穴/瓦]		
08308	M025480		0	2595B		[穴/犮]		
08309			0	259E6		[穴/悎]	窖	
08310	M003483		1	5485		[立/口]		
08311	M073573					[亦-〦]		
08312						[共-八]		
08313	M001607		1	51AB		[冰-水]		
08314						[列/省]		
08315			1		80F7	[匈/肉]		
08316	M010593		0	3929		[各/心]	恪	
08318	M014295		0	2332D		[合/日]		
08319	M033024		0	272A7		[合/虫]	蛤	
08320						[(├/乙)*欠]		
08321	M032998		0	45AF		[圭/虫]		
08322						[(├/匚)*又]		
08323	M028482		0	26379		[多*羊]		
08324	M046871		1	9D3A		[夷*鳥]		
08325						[宅*頁]		
08326	M016027		0	3C23		[此*欠]		
08327	M036768		0	27D72		[死/貝]	貿	
08328	M018014		0	3D33		[江*尨]		
08329	M019923		1	725C		[牝-匕]		
08331	M055907		0	42B3		[米*靡]		
08332	M026850		0		25E2D	[米/卄]	掬	
08333	M026939		1	7CA6		[米/舛]	燐	
08334	M027238		0	42B6		[糸*也]	紖	
08335						[糸*巾]		
08336	M027316		0	25FAD		[糸*爪]		
08337	M027420		1	7D5D		[糸*夸]	褲	
08338	M027408		0	42D8		[糸*耒]	縋	
08339	M027466		1	7D78		[糸*見]	繭	
08340	M027846		0	26111		[糸*彗]		
08341	M027926		1	7E65		[糸*喜]		
08342						[糸*盡]		
08343			0	261DD		[糸*縈]		
08344	M027772		0	260D6		[糸*剡]		
08345	M027982		0	26189		[糸*廌]	韉	
08346	M028189		1	7F4E		[缶*曇]	罈	
08347	M028444		0	26358		[羊*元]	羱	
08348	M028627		0	26402		[羽*戈]		
08349	M028643		0	2640A		[羽*氏]	翅	
08350						[羽*民]	翅	
08351	M028760		0	26467		[羽*是]		
08352						[老/鬼]		
08353	M028885		0	264D4		[而/而]		
08354						[耳*方]		
08355						[耳*丙]		
08356			0	2655A		[耳*弗]	胇	
08357			0	26581		[耳*希]		
08358						[肉*于]		
08359						[肉*巳]		
08360						[肉*干]		
08361						[肉*不]		
08362						[肉*包]		
08363						[肉*台]		
08364						[肉*色]		
08365						[肉*臾]		
08366						[肉*鬲]		
08367						[肉*盧]		
08368						[肉/火]		
08369	M042025		0	28FBD		[至*隹]		
08370	M030281		0	269C8		[舌*今]		
08371						[舌*愛]		
08372						[舌*話]		
08373						[舌*豸]	舐	
08374	M030319		0	269EB		[舌*彖]		
08375			0	26A46		[舟*我]		
08376						[虫*ㄆ]		
08377	M033013		0	27297		[虫*耳]		
08378						[虫*芥]		
08379	M033527		0	2740E		[虫*覓]		
08380	M033739		0	274CC		[虫*熒]	螢	
08381	M033792		0	4603		[虫*墨]	蟔	
08382						[虫*朁]		
08383	M033980		1	8845		[血*半]	釁	
08384						[夾/回]		
08385	M058232		1	5EF4		[廷-壬]		
08386	M048531		0	4D8F		[弟*鼻]		
08387	M013109		1	6535		[改-己]		
08388						[旱*支]		
08389	M022860		0	24FE7		[旱*皮]		
08390	M020235		1	72AD		[狂-王]		
08391	M002361		1	52C8		[甬*力]	勇	
08392	M021503		0	3F27		[甬*瓦]		
08393	M021915		0	24CB6		[男*男]		
08394			0	23A98		[皂*殳]		
08395						[究/敢]		
08396	M007442		0	21B30		[肘/尺]	尋	
08397						[肘/火]		
08398	M034804		0	4677		[見/寸]		
08399	M035212		0	46AE		[言*乃]		
08400						[言*未]		
08401	M035467		1	8A80		[言*耳]		
08402	M035965		0	27B0D		[言*啻]	謫	
08403	M036044		1	8B75		[言*對]	懟	
08404	M035632		0	27A36		[言*芺]	訞	
08405	M036281		0	27BF1		[豆*或]		
08406	M016631		0	23A8C		[豆*殳]		
08407	M036675		1	8CA6		[貝*元]	玩	
08408	M036724		0	476E		[貝*玄]	衒	
08409	M036776		0	27D85		[貝*每]	賄	
08410						[貝*睿]		
08411	M036977		0	27E3D		[貝*遺]	遺	
08412						[貝*蹙]		
08413						[赤/火]		
08414	M038052		0	2821F		[身*戈]	我	
08415	M038142		0	483F		[身*貴]		
08416	M038188		0	4845		[車*川]	輴	
08417	M038301		0	282EE		[車*旬]		
08418						[車*奚]		
08419	M067348		0	283FC		[車*蘭]		
08420	M038553		0	283B6		[車*豦]		
08421	M010802		0	226DA		[辰/心]	辱	
08422			1		8123	[辰/肉]		
08423	M039833		0	28816		[酉*包]		
08424						[酉*帝]		
08425	M040057		1	91B6		[酉*僉]		
08426						[釆/異]		
08427						[里*坒]		
08428	M021902		0	24CA2		[亞/田]	留	
08429	M016861		0	23B89		[來*毛]		
08430	M034889		0	4685		[來*見]		
08431						[兒*頁]		
08432						[兩*鬼]		
08434	M021538		0	24B62		[卒*瓦]		
08435						[卓*人]		
08436						[卷*見]		
08437			1	8FA4		[受*辛]	辭	
08438	M076350					[妻-女]		
08439	M008153		1	5D08		[宗/山]	崇	
08440						[宛/皿]		
08441						[尚*又]		
08442						[(┌@一)/一/明]		
08443	M019412		0	243A5		[帛*炎]		
08444	M009114		0	2215E		[帛*彔]	綠	
08445	M074580					[幸*匊]		
08446			0	20B1D		[服-月]		
08447	M016879		0	23B94		[果*毛]		
08449	M053117		1	6A37		[林/取]	叢	
08450	M015577		0	3BDF		[林/彔]	麓	
08451	M003827		0	20D38		[波/口]		
08452	M016859		0	3C9C		[炎*毛]	毯	
08453	M019583		0	3E0B		[炙*番]	膰	
08454	M049256		0	243DD		[炙*坴]	燅	
08455						[直*召]		
08456						[罔*鬼]		
08457	M003062		1	53B7		[肱-月]		
08458	M036851		0	477F		[臾/貝]	貴	
08459						[金*升]		
08460			0	493C		[金*泉]		
08461	M041015		0	28BBC		[金*箴]		
08462	M041268		0	28CF5		[門@丙]		
08463	M041280		0	28CFE		[門@右]	祐	
08464	M041405		0	49A7		[門@兒]	鬩	
08465						[門@取]		
08466	M041511		0	28DD5		[門@毀]		
08467	M041530		0	28DF7		[門@蟲]		
08468	M078821		0	2909C		[雨/匆]	處	
08469						[雨/右]		
08470	M042257		0	290A1		[雨/瓜]		
08471	M042262		0	4A10		[雨/合]	洽	
08472						[(〦/(戉-戈))*ㄗ]		
08473	M042360		0	4A23		[雨/革]		
08474	M042591		0	291EA		[非/巾]		
08475	M010870		0	22754		[則/心]	惻	
08476	M010890		1	6102		[勃/心]	悖	
08477	M011538		0	2298F		[栽-木]		
08479						[垂*ㄗ]	郵	
08480	M042057		0	28FE0		[垂*隹]		
08481	M000372		0	3431		[珍-王]		
08482						[相*夬]		
08483	M074232		0	200DC		[眉-目]		
08484	M020530		0	247E2		[盾*犬]		
08485						[若*欠]		
08486	M042767		0	4A5C		[革*由]	冑	
08487			0	4A65		[革*延]		
08488						[革*匍]		
08489	M042927		0	4A72		[革*度]		
08490						[革*迷]		
08491	M043099		0	29389		[革*麗]		
08492			0	29417		[音*久]		
08493	M042119		0	2901E		[倉*隹]	鶬	
08494	M076537		0	268DE		[姬-女]	頤	
08495			0	238F6		[害*欠]		
08496						[(ㄇ@(人*人))/山]	岡	
08497	M007833		1	5C70		[朔-月]		
08498						[梳*木]		
08499	M050072		1	8980		[栗-木]	襾	
08500	M070851					[留-田]		
08501	M005845		1	5932		[皋-白]		
08502	M027735		0	260C6		[索*各]	絡	
08503	M045709		0	29C4B		[羔/鬲]	羹	
08504			0	269A8		[舀*炎]	燄	
08505	M048546		0	2A5B5		[邕*鼻]		
08506						[除/土]	塗	
08507	M044918		0	29949		[馬*豈]	驥	
08508	M045288		0	29AA6		[骨*隓]	髓	
08509			0	29ADD		[高*卑]		
08510						[高/毛]	毫	
08511	M037795		0	481F		[執/足]		
08512	M007135		0	219EF		[寂-又]	寂	
08513						[(ㄊ/肖)*ㄆ]		
08514	M022009		0	24D1F		[帶/疋]		
08515	M072066		0	3840		[敝-ㄆ]	敝	
08516	M006010		0	21681		[敝/大]	弊	
08517	M006681		1	5AEF		[敖/女]		
08518						[票*支]		
08519	M034950		0	27886		[舂/見]		
08520	M030270		0	269BE		[舂/壽]		
08521			0	26FC9		[莫/良]	餕	
08522	M046071		1	9B8F		[魚*生]		
08523						[鹿*毛]		
08524	M047677		0	2A2D6		[鹿*風]		
08525	M047643		1		9E90	[鹿/吝]	麟	
08526	M077583		0	20A4B		[厥-欠]	斥	
08527						[厥/米]		
08528	M011223		0	22838		[單/心]	憚	
08529						[晶/尒]		
08530	M041923		1	96B6		[棣-木]		
08531	M009082		0	2214A		[無/巾]		
08532						[番*皮]	簸	
08533	M002447		1	52ED		[童*力]		
08534			0	25CA5		[答/皿]		
08535	M043679		0	4AED		[貴*頁]		
08536						[黍*ㄗ]		
08537	M048008		0	2A3FA		[黍*必]		
08538	M047996		0	2A3F0		[黍/日]	香	
08539			0	2A422		[黑*土]		
08540	M048060		0	2A424		[黑*尤]	疣	
08541	M016755		0	23B09		[媲-女]	毗	
08542	M014325		1	6707		[會*卑]		
08543	M029940		1	81CB		[殿/肉]	臀	
08544	M000300		0	342D		[稟-禾]	廩	
08545						[腹-ㄆ]	脂	
08546	M032705		0	271A8		[虜-力]	罏	
08547						[言*弋]		
08548			0		27A82	[詢/子]	詢	
08549	M029945		0	2685C		[辟/肉]	臂	
08550	M077703					[雍-〦]	雍	
08551	M012782		0	22D9C		[雍/手]	擁	
08552			0	2685A		[雍/月]	臃	
08553						[雷/辰]		
08554			0	2A513		[鼓/召]		
08555	M048352		0	2A51B		[鼓/兆]	鞀	
08557	M003829		1		555A	[圖-囗]		
08558	M058019		0	241FE		[勞-力]		
08559	M028120		0	4343		[榣-木]		
08560	M008567		0	21F7A		[獄/山]	嶽	
08561	M011373		0	228D5		[疑/心]		
08562			1	58E1		[睿*圣]	叡	
08563	M039699		0	287AE		[聚*邑]	聚	
08564						[與/巳]		
08565						[(人*人)/一/廾]		
08566	M032443		0	27095		[蒿/老]	耄	
08567	M048532		0	2A5A6		[鼻*弟]		
08568	M031164		1	83D0		[噗-口]		
08569	M047460		0	2A1F8		[慮*鳥]		
08570	M047450		0	2A1F0		[暴*鳥]	鸔	
08571	M058533					[殤-歹]		
08572			0	20F78		[(口*口)/頁]	囂	
08573						[蔽/耳]		
08574	M074228		0	26B5D		[蔑-戍]		
08575			0		2A1FA	[黎*鳥]		
08576	M013107		0	22EEA		[器*支]	攲	
08577	M012405		0	3A14		[撼-心]		
08578						[(己*殳)/毛]		
08579	M074560					[纂-糸]	算	
08580						[蕊/米]		
08581	M036119		0	27B79		[頻/言]		
08582	M016370		0	239BC		[餐-食]		
08583			0	3561		[壑-土]	壑	
08584	M032717		0	4592		[戲-戈]		
08585						[毚-、]		
08586	M016633		1	6BB8		[聲-耳]		
08587						[薛/示]		
08588			0	2754F		[薛/虫]	蠥	
08589	M075468					[襄-〦]		
08590						[(方*反)/肉]		
08591	M015922		0	2381E		[聶/木]		
08592			1		7C62	[簽*ㄆ]		
08593	M028291		0	435C		[羅-糸]		
08594	M073769		0	24514		[辭-辛]		
08595						[蘆-皿]		
08596	M047520		0	2A23A		[屬*鳥]		
08597			1	7FB4		[羼-尸]	羶	
08598	M014099		0	3B0E		[顯-頁]		
08599			1	6740		[乂/木]	殺	
08600			0	2067D		[凵@士]	塊	
08601						[匚@一]	亡	
08602	M054451		1	533B		[匚@矢]		
08603						[厂@千]		
08604	M002944		0	20A58		[厂@夾]		
08605			0	20A84		[厂@苗]	厲	
08606	M046655		1	9CEB		[厂@鳥]	鴈	
08607	M070154		0	200CA		[囗-┐]		
08608	M004689		0	211A7		[囗@小]		
08609	M007829		0	37A2		[屮/一]	之	
08610						[彳*、]		
08611	M010053		0	224C8		[彳*勻]	徇	
08612	M010277		0	22592		[彳*憂]	優	
08613			0		224C4	[彳*幵]		
08614	M013065		0	22EB7		[巿*支]		
08615						[爿*未]		
08616						[爿*生]	牲	
08617						[爿*采]	檣	
08618						[爿*貴]		
08619	M021813		0	3F5C		[夗/田]	畹	
08620	M007129		0	219EB		[宄/心]	宄	
08621	M016754		0	23B08		[囟*比]	毗	
08622	M008674					[巟-亡]		
08623	M036757		0	27D69		[朿/貝]	責	
08624	M028259		0	2629F		[网/古]	罟	
08625						[网/肉]		
08626	M028421		0	26343		[网/繯]		
08627	M007826					[艸-屮]		
08628	M027527		0	26027		[劭/糸]	紹	
08629	M036512		0	27CAA		[豸*亢]	貉	
08630						[豸*兄]		
08631	M049734		0	27CE2		[豸*昆]	豤	
08632						[(采-木+(豕-一))*頁]	貌	
08633						[豸*貴]		
08634						[(止/谷)*又]		
08635	M001525		1	518E		[咼-口]	剮	
08636	M050045		0	20B36		[唚-口]		
08637	M000108		0	20086		[虒-虎]		
08638			0	29B9D		[髟/害]		
08639			0	29BD8		[髟/喬]		
08640						[埶/土]	墊	
08641	M007530		0	377B		[堇*少]		
08642	M002883		1	5380		[桼*ㄗ]	膝	
08643						[桼*力]		
08644	M060076		1		6C3D	[桼-木]	汆	
08645						[軗/足]		
08646			0	23D92		[棩-木]	淵	
08647	M003075		1	53BD		[絫-糸]		
08648						[臸/目]		
08649	M027789		0	26886		[賏/肉]	癭	
08650			0		24454	[蓻/火]	爇	
08651						[蓻/糸]		
08652	M035442		0	279CC		[諔-又]	寂	
08653			0	23029		[褱*ㄆ]	壞	
08654						[懞-卄]		
08655			0	26061		[縰-彳]	縰	
08656						[(歹*歹)/木]	桀	
08657						[曚-卄]		
08658	M013000		0	22E6D		[雝/手]	擁	
08659	M021637		0	24BB2		[雝/瓦]		
08660	M024936		0	25762		[鯬-魚]		
08661	M075106					[舋-且]		
08662			0	27517		[(乏-之+虫)*(乏-之+虫)*(乏-之+虫)]		
08663						[鑴-儿]		
08664	M021806		1	7557		[〦/口/田]		
08665	M030975		0	26B90		[卄/ㄠ/大]		
08666						[入/北/車]	乘	
08667						[刀/肉/火]		
08668	M014685		1	6852		[十/卄/木]	桑	
08669			1	53C0		[十/田/ㄙ]		
08670			1		66FA	[十/田/日]	曹	
08671			1		60B3	[十/目/心]	德	
08672						[山/一/夗]		
08673						[山/兀/ㄆ]		
08674						[山/兀/廾]		
08676	M008059		0	21DD3		[山/大/廾]		
08677						[(乏-之+虫)*朱]		
08678						[山/工/母]		
08679						[弓*丙*丙]		
08680	M000447		0	343B		[仁-二+內]		
08681	M060027		0	201D6		[仁-二+乏]		
08682			0	3446		[仁-二+兄]		
08683	M000498		0	3444		[仁-二+母]	侮	
08684	M000654		1	4FBC		[仁-二+孛]		
08685	M000691		1	4FD5		[仁-二+宋]		
08686	M000631		0	3457		[仁-二+身]		
08687						[仁-二+洫]		
08688	M065028					[仁-二+弱]		
08689	M000949		0	3475		[仁-二+疾]		
08690	M001174		0	3482		[仁-二+著]		
08691			0	203C6		[仁-二+葡]		
08692						[仁-二+熊]		
08693						[(乏-之+虫)*知]	蜘	
08694	M001316		0	20458		[傎*頁]		
08695	M000831		1	5044		[仁-二+耎]		
08696						[冗-几+平]		
08697						[冗-几+祋]		
08698						[(占@(企-止+米))*合]		
08699			1	672F		[尤-尢+木]		
08700						[月*〡*臣]		
08701						[木*夕*木]		
08702						[(占@必)/土]		
08703	M000134		0	20095		[乏-之+夫]	矢	
08704						[乏-之+蟲]	蟲	
08705	M048906		0	200A0		[乎-丁+ㄎ]		
08706						[冉-工+又]		
08707	M073901					[北/穴/瓦]		
08708						[(母-(、/、)+║)/心]		
08709						[古/日/羊]		
08710						[必/下/一]		
08711	M011892		1	6299		[打-丁+手]		
08712	M049128		0	22B03		[打-丁+印]	抑	
08713	M012195		1	636A		[打-丁+昏]		
08714	M012209		0	3A00		[打-丁+秉]		
