001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
002##T0150A   1,七處三觀經                               ,【後漢 安世高譯】
002##T0150B   1,九橫經                                   ,【後漢 安世高譯】
002##T0151    1,佛說阿含正行經                           ,【後漢 安世高譯】
003##T0152    8,六度集經                                 ,【吳 康僧會譯】
003##T0153    3,菩薩本緣經                               ,【吳 支謙譯】
003##T0154    5,生經                                     ,【西晉 竺法護譯】
003##T0155    3,菩薩本行經                               ,【失譯】
003##T0156    7,大方便佛報恩經                           ,【失譯】
003##T0157   10,悲華經                                   ,【北涼 曇無讖譯】
003##T0158    8,大乘悲分陀利經                           ,【失譯】
003##T0159    8,大乘本生心地觀經                         ,【唐 般若譯】
003##T0160   16,菩薩本生鬘論                             ,【宋 紹德慧詢等譯】
003##T0161    1,長壽王經                                 ,【失譯】
003##T0162    1,金色王經                                 ,【東魏 瞿曇般若流支譯】
003##T0163    1,妙色王因緣經                             ,【唐 義淨譯】
003##T0164    1,師子素馱娑王斷肉經                       ,【唐 智嚴譯】
003##T0165    6,頂生王因緣經                             ,【宋 施護等譯】
003##T0166    1,月光菩薩經                               ,【宋 法賢譯】
003##T0167    1,太子慕魄經                               ,【後漢 安世高譯】
003##T0168    1,太子墓魄經                               ,【西晉 竺法護譯】
003##T0169    1,月明菩薩經                               ,【吳 支謙譯】
003##T0170    1,德光太子經                               ,【西晉 竺法護譯】
003##T0171    1,太子須大拏經                             ,【西秦 聖堅譯】
003##T0172    1,菩薩投身飴餓虎起塔因緣經                 ,【北涼 法盛譯】
003##T0173    4,福力太子因緣經                           ,【宋 施護譯】
003##T0174    1,菩薩睒子經                               ,【失譯】
003##T0175a   1,睒子經                                   ,【伏秦 聖堅譯】
003##T0175b   1,佛說睒子經                               ,【姚秦 聖堅譯】
003##T0175c   1,佛說睒子經                               ,【西晉 聖堅譯】
003##T0176    1,師子月佛本生經                           ,【失譯】
003##T0177    1,大意經                                   ,【劉宋 求那跋陀羅譯】
003##T0178    1,前世三轉經                               ,【西晉 法炬譯】
003##T0179    1,銀色女經                                 ,【元魏 佛陀扇多譯】
003##T0180    1,過去世佛分衛經                           ,【西晉 竺法護譯】
003##T0181a   1,九色鹿經                                 ,【吳 支謙譯】
003##T0181b   1,佛說九色鹿經                             ,【吳 支謙譯】
003##T0182a   1,鹿母經                                   ,【西晉 竺法護譯】
003##T0182b   1,佛說鹿母經                               ,【西晉 竺法護譯】
003##T0183    1,一切智光明仙人慈心因緣不食肉經           ,【失譯】
003##T0184    2,修行本起經                               ,【後漢 竺大力共康孟詳譯】
003##T0185    2,太子瑞應本起經                           ,【吳 支謙譯】
003##T0186    8,普曜經                                   ,【西晉 竺法護譯】
003##T0187   12,方廣大莊嚴經                             ,【唐 地婆訶羅譯】
003##T0188    1,異出菩薩本起經                           ,【西晉 聶道真譯】
003##T0189    4,過去現在因果經                           ,【劉宋 求那跋陀羅譯】
003##T0190   60,佛本行集經                               ,【隋 闍那崛多譯】
003##T0191   13,眾許摩訶帝經                             ,【宋 法賢譯】
004##T0192    5,佛所行讚                                 ,【北涼 曇無讖譯】
004##T0193    7,佛本行經                                 ,【宋 釋寶雲譯】
004##T0194    3,僧伽羅剎所集經                           ,【符秦 僧伽跋澄等譯】
004##T0195    1,佛說十二遊經                             ,【東晉 迦留陀伽譯】
004##T0196    2,中本起經                                 ,【後漢 曇果共康孟詳譯】
004##T0197    2,佛說興起行經                             ,【後漢 康康孟詳】
004##T0198    2,佛說義足經                               ,【吳 支謙譯】
004##T0199    1,佛五百弟子自說本起經                     ,【西晉 竺法護譯】
004##T0200   10,撰集百緣經                               ,【吳 支謙譯】
004##T0201   15,大莊嚴論經                               ,【後秦 鳩摩羅什譯】
004##T0202   13,賢愚經                                   ,【元魏 慧覺等譯】
